concept,text,pleasant,attention,sensitivity,aptitude,polarity
foray_into,foray into,-0.935,0,0.77,-0.666,-0.79
forbearance,forbearance,0.543,-0.678,0,0.553,0.591
forbid,forbid,0.778,-0.964,0,0.702,0.815
forbidden_fruit,forbidden fruit,0.854,-0.955,0,0.554,0.788
force,force,0,0,-1,-1,-0.667
force_enter,force enter,-0.931,0,0.945,-0.932,-0.936
force_other_person,force other person,-0.101,0,-0.059,-0.064,-0.075
force_out,force out,-0.83,0,0.965,-0.845,-0.88
force_per_unit_area,force per unit area,-0.623,0,0.901,-0.715,-0.746
force_play,force play,-0.83,0,0.965,-0.845,-0.88
force_unit,force unit,-0.641,0,0.678,-0.705,-0.675
forced,forced,-0.526,0,0.857,-0.754,-0.712
forced_removal,forced removal,-0.029,-0.046,0.033,-0.151,-0.056
forceful,forceful,-0.103,0.074,-0.057,0.188,0.034
forcefulness,forcefulness,-0.929,0,0.946,-0.567,-0.814
forceps,forceps,-0.031,0,-0.217,-0.089,-0.112
ford,ford,0.049,0.139,-0.09,0.123,0.074
forearm,forearm,0.754,0.903,0,0,0.552
foreboding,foreboding,-0.479,0.391,-0.23,-0.146,-0.155
forecast,forecast,0.814,0.773,0,0,0.529
foreclose,foreclose,0.704,-0.557,0,0.96,0.74
foregoing,foregoing,-0.569,0,0.954,-0.804,-0.776
foregone_conclusion,foregone conclusion,-0.571,0,0.713,-0.649,-0.644
forehead,forehead,-0.029,-0.063,-0.047,-0.11,-0.041
foreign,foreign,-0.521,0,0.783,-0.975,-0.76
foreign_country,foreign country,0,0.871,0,0.861,0.577
foreigner,foreigner,-0.575,0,0.803,-0.772,-0.717
foreignness,foreignness,-0.864,0,0.941,-0.622,-0.809
foreknowledge,foreknowledge,-0.65,0,0.768,-0.985,-0.801
foreordain,foreordain,0.716,-0.718,0,0.736,0.723
foreplay,foreplay,0.281,0.169,-0.147,0.067,0.123
foresee,foresee,-0.809,0,0.945,-0.639,-0.798
foreshow,foreshow,0.527,-0.984,0,0.847,0.786
foresighted,foresighted,0.527,-0.807,0,0.705,0.68
forest,forest,-0.739,0,0.59,-0.893,-0.741
forest_fire,forest fire,0,0,-0.112,-0.124,-0.079
forestall,forestall,0.958,-0.72,0,0.737,0.805
forested,forested,-0.863,0,0.665,-0.616,-0.715
foretelling,foretelling,0.958,-0.508,0,0.527,0.664
forethought,forethought,0,0.378,-0.166,0.278,0.163
forever,forever,0,0.167,-0.133,0.244,0.093
forever_young,forever young,0.107,0.11,-0.084,0.21,0.114
forfeit,forfeit,-0.17,0.172,-0.207,0.128,-0.026
forge,forge,0,0.066,0,0.093,0.053
forget,forget,-0.808,0,0,0,-0.269
forget_else,forget else,-0.112,0.085,0,-0.096,-0.041
forget_everything,forget everything,-0.724,0,0.745,-0.914,-0.794
forget_fact,forget fact,-0.133,0,-0.074,-0.037,-0.081
forget_name,forget name,-0.957,0,0.81,-0.7,-0.822
forget_problem,forget problem,0.728,0,0,0.998,0.575
forget_trouble,forget trouble,0.889,0,0,0.931,0.607
forgetful,forgetful,-0.714,0,0.906,-0.934,-0.851
forgetfulness,forgetfulness,-0.073,-0.071,-0.048,-0.252,-0.101
forgivable,forgivable,0.027,-0.033,0.027,0.105,0.046
forgive,forgive,0.601,0.647,-0.266,0.322,0.435
forgiven,forgiven,0.746,0.97,0,0.994,0.903
forgiveness,forgiveness,0.716,0,0,0,0.239
forgiver,forgiver,-0.763,0,0.684,-0.868,-0.772
forgiving,forgiving,0.579,-0.541,0,0.784,0.635
forgotten,forgotten,0,0,0.935,-0.763,-0.566
fork,fork,-0.754,0,0.886,-0.726,-0.789
forklift,forklift,0.087,-0.041,0,0,0.043
forlorn,forlorn,-0.696,0.32,-0.389,-0.089,-0.285
forlorn_hope,forlorn hope,0.842,-0.731,0,0.662,0.745
forlornly,forlornly,-0.696,0.32,-0.389,-0.089,-0.285
forlornness,forlornness,-0.696,0.32,-0.389,-0.089,-0.285
form,form,0.036,0.127,0.019,0.225,0.123
form_art,form art,0.093,0,0.017,0.183,0.086
form_communication,form communication,-0.031,0,0,0.146,0.038
form_energy,form energy,0,0.122,-0.154,0.183,0.05
form_entertainment,form entertainment,0.101,-0.09,0.016,0,0.058
form_exercise,form exercise,0,0,0.035,0.137,0.034
form_expression,form expression,0.081,0,0.051,0.137,0.056
form_food,form food,0.049,0,0.024,0.056,0.027
form_gamble,form gamble,0,-0.024,-0.051,0.115,0.029
form_government,form government,0.061,0.219,-0.069,0.192,0.134
form_money,form money,0,0.096,0.082,0.107,0.04
form_music,form music,0.136,-0.092,0.087,-0.033,0.036
form_opinion,form opinion,-0.146,-0.042,0,-0.102,-0.069
form_public_transportation,form public transportation,0,-0.019,0,0.058,0.026
form_punishment,form punishment,0,0.107,0,0.105,0.071
form_sentence,form sentence,-0.112,0.082,-0.11,-0.05,-0.063
form_social_interaction,form social interaction,0.039,0,-0.063,0.163,0.046
form_team,form team,-0.043,-0.041,0.085,0,-0.029
form_think,form think,0,0.069,0,0.108,0.059
form_transportation,form transportation,0,-0.007,0.014,0.094,0.029
formal,formal,0.123,-0.046,0.078,0,0.03
formal_cloth,formal cloth,0.053,-0.068,0.047,0.087,0.054
formal_clothes,formal clothes,0.867,0,0,0,0.289
formal_event,formal event,0.076,0.139,-0.062,0.173,0.109
formal_introduction,formal introduction,0.028,-0.147,0.063,0,0.037
formal_logic,formal logic,0.629,-0.792,0,0.758,0.726
formality,formality,0.614,-0.953,0,0.768,0.778
formative,formative,0.678,-0.897,0,0.804,0.793
formidable,formidable,0.562,-0.698,0,0.883,0.714
formless,formless,-0.646,0,0.557,-0.739,-0.647
formula,formula,0.159,-0.005,0.011,0.079,0.077
formulaic,formulaic,0.84,-0.646,0,0.912,0.799
formulate,formulate,-0.957,0,0.822,-0.882,-0.887
formulation,formulation,0.825,-0.916,0,0.626,0.789
fornicate,fornicate,-0.745,0,0.677,-0.77,-0.731
fornication,fornication,-0.985,0,0.662,-0.738,-0.795
fornicator,fornicator,-0.684,0,0.74,-0.971,-0.798
fornicatress,fornicatress,-0.544,0,0.691,-0.966,-0.734
forsake,forsake,-0.603,0,0.661,-0.872,-0.712
forswear,forswear,-0.97,0,0.616,-0.589,-0.725
forswear_oneself,forswear oneself,-0.05,-0.06,-0.107,-0.048,-0.048
fort,fort,0.022,0.161,-0.046,0,0.046
fortification,fortification,0.029,0.136,0,0.087,0.084
fortified,fortified,-0.898,0,0.627,-0.547,-0.691
fortnight,fortnight,0,0.182,-0.081,0.069,0.057
fortuity,fortuity,-0.725,0,0.552,-0.769,-0.682
fortunate,fortunate,0.943,-0.582,0,0.694,0.74
fortune,fortune,0.976,0.811,0,0,0.596
fortune_teller,fortune teller,0.083,0,0,0.075,0.053
forum,forum,0,0.073,-0.059,0.067,0.027
forward_email,forward email,-0.109,0.066,-0.059,0,-0.034
forward_motion,forward motion,0.605,-0.717,0,0.937,0.753
forward_movement,forward movement,-0.068,0.233,-0.108,0.332,0.13
forward_pass,forward pass,-0.92,0,0.835,-0.682,-0.812
fossil,fossil,0,0,0,0.882,0.294
fossil_fuel,fossil fuel,0.21,0.131,-0.051,0.084,0.125
foster_kid,foster kid,-0.033,0.19,-0.204,0.176,0.043
fosterage,fosterage,0.902,-0.5,0,0.716,0.706
fostering,fostering,0.902,-0.5,0,0.716,0.706
foul,foul,-0.971,0,0.922,-0.533,-0.809
foul_play,foul play,-0.522,0,0.621,-0.919,-0.687
foulness,foulness,-0.534,0,0.733,-0.618,-0.628
foundation,foundation,0,0.075,0,0.109,0.061
founder,founder,0.812,-0.563,0,0.748,0.708
founding_father,founding father,0.812,-0.563,0,0.748,0.708
fount,fount,-0.986,0,0.969,-0.957,-0.971
fountain_pen,fountain pen,0.025,0.176,-0.065,0.114,0.083
four_corners,four corners,0.027,0,0.089,0.141,0.026
four_leaf_clover,four leaf clover,0.343,0.223,-0.168,0.314,0.237
four_quarters,four quarters,0,0.177,0.078,0.12,0.073
four_seasons,four seasons,0.21,0.131,-0.051,0.084,0.125
four_sides,four sides,0.028,0,0.093,0.172,0.036
four_walls,four walls,0,0,0,0.092,0.031
four_wheels,four wheels,0,-0.035,0.013,0.095,0.039
fourpenny,fourpenny,0.753,-0.945,0,0.965,0.888
fourth,fourth,0,0.149,0,0,0.05
fowl_cholera,fowl cholera,0.986,-0.521,0,0.915,0.807
fox,fox,-0.662,0,0.992,-0.726,-0.793
foxiness,foxiness,0.784,-0.595,0,0.846,0.742
foxtail,foxtail,-0.766,0,0.513,-0.722,-0.667
foxtail_grass,foxtail grass,-0.766,0,0.513,-0.722,-0.667
foyer,foyer,0.039,-0.033,0,0,0.024
fracas,fracas,-0.993,0,0.603,-0.827,-0.808
fraction,fraction,0,0.119,0,0.106,0.075
fractiousness,fractiousness,-0.562,0,0.746,-0.627,-0.645
fracture,fracture,-0.812,0,0.745,-0.94,-0.832
fragile,fragile,0,0,0.771,-0.822,-0.531
fragile_fern,fragile fern,-0.831,0,0.988,-0.939,-0.919
fragment,fragment,0.027,-0.033,0.027,0.105,0.046
fragmentation,fragmentation,0.774,-0.916,0,0.95,0.88
fragrance,fragrance,0,0,-0.107,0.207,0.033
fragrancy,fragrancy,0.933,-0.874,0,0.766,0.858
fragrant,fragrant,0,0.111,0,0.17,0.094
frail,frail,0,0,0.771,-0.822,-0.531
frailness,frailness,0.645,-0.689,0,0.625,0.653
frailty,frailty,0.591,-0.967,0,0.953,0.837
frame,frame,0.033,0,0,0.081,0.038
frame_of_mind,frame of mind,0.964,-0.592,0,0.982,0.846
frame_picture,frame picture,0.903,0.932,0,0,0.612
framing,framing,0.878,-0.587,0,0.624,0.696
franc,franc,0,0.201,0.018,0.077,0.087
franchise,franchise,0,0.127,-0.093,0.054,0.029
frank,frank,0.05,0.166,-0.071,0.152,0.099
frankness,frankness,0.664,-0.941,0,0.613,0.739
fraternal,fraternal,0.605,0.647,-0.266,0.323,0.436
fraternity,fraternity,0.153,0,0,0,0.051
fraud,fraud,-0.914,0,0.85,-0.766,-0.843
fraud_in_fact,fraud in fact,-0.914,0,0.85,-0.766,-0.843
fraudulence,fraudulence,-0.601,0,0.982,-0.562,-0.715
fraudulent_intent,fraudulent intent,-0.106,0,-0.053,-0.24,-0.133
fraudulent_scheme,fraudulent scheme,0.842,-0.731,0,0.662,0.745
freak,freak,-0.914,0,-0.728,-0.99,-0.877
freak_out,freak out,0,0,0.771,-0.822,-0.531
freakishness,freakishness,-0.561,0,0.977,-0.869,-0.802
freckle,freckle,-0.721,0,-0.825,-0.841,-0.796
free,free,0.734,0.772,0,0.841,0.782
free_bird,free bird,0.064,0.127,-0.181,0.158,0.056
free_country,free country,0.904,0.881,0,0.774,0.853
free_food,free food,0.93,0.734,0,0.958,0.874
free_house,free house,-0.769,0,0.75,-0.563,-0.694
free_love,free love,-0.792,0,0.979,-0.982,-0.918
free_mind,free mind,-0.044,0.073,-0.067,-0.034,-0.024
free_night,free night,0,0.827,0,0.84,0.556
free_phagocyte,free phagocyte,0.702,-0.524,0,0.958,0.728
free_prisoner,free prisoner,-0.156,0.081,-0.084,0,-0.053
free_seat,free seat,0.901,0,0,0,0.3
free_sex,free sex,0.045,-0.664,0,0.363,0.357
free_slave,free slave,-0.045,0.144,-0.115,0.114,0.033
free_spirit,free spirit,0.776,-0.575,0,0.582,0.644
free_stuff,free stuff,0.889,0.762,0,0.95,0.867
free_ticket,free ticket,0.901,0,0,0,0.3
free_time,free time,0.987,0.882,0,0.905,0.925
free_weight,free weight,0.52,-0.972,0,0.916,0.803
free_will,free will,0,0.133,0,0.206,0.113
freeboard_deck,freeboard deck,0.831,-0.821,0,0.826,0.826
freedom,freedom,0.965,0.72,0,0.914,0.866
freedom_think,freedom think,0.813,0.916,0,0.841,0.857
freeload,freeload,0.866,-0.917,0,0.893,0.892
freely_available,freely available,0.02,0.095,-0.101,0.242,0.085
freestyle,freestyle,-0.03,0.11,0,0.128,0.069
freeway,freeway,0,0,0.013,-0.067,-0.027
freewheeler,freewheeler,0.502,-0.829,0,0.779,0.703
freewheeling,freewheeling,0.951,-0.895,0,0.52,0.789
freeze,freeze,-0.641,0,0.612,-0.848,-0.7
freeze_cold,freeze cold,-0.984,0,0.944,-0.941,-0.956
freeze_off,freeze off,-0.651,0,0.675,-0.963,-0.763
freezer,freezer,0,-0.023,0,0.07,0.031
french,french,-0.026,0,0,-0.067,-0.031
french_fries,french fries,0.838,-0.57,0,0.544,0.651
french_person,french person,-0.026,0,0,-0.067,-0.031
french_restaurant,french restaurant,0.053,0.085,0.019,0,0.04
french_revolution,french revolution,0,0,-0.966,-0.912,-0.626
french_toast,french toast,0,0.08,0,0,0.027
frenzy,frenzy,-0.682,0,0.995,-0.789,-0.822
frequency,frequency,0.035,0.124,0,0.23,0.13
frequency_distribution,frequency distribution,0.948,-0.992,0,0.549,0.83
frequent,frequent,0,0.188,-0.047,0.191,0.111
frequently,frequently,0.023,0.082,0,0.155,0.087
fresh,fresh,0.116,0.108,-0.091,0.12,0.084
fresh_air,fresh air,0.786,0,0,0,0.262
fresh_air_exercise,fresh air exercise,0.135,0,0.012,0,0.041
fresh_breath,fresh breath,0.9,0.998,0,0.82,0.906
fresh_breathe,fresh breathe,-0.074,-0.171,-0.086,0.061,0.024
fresh_food,fresh food,0.907,0.794,0,0.771,0.824
fresh_fruit,fresh fruit,0.973,0.769,0,0.784,0.842
fresh_milk,fresh milk,0.038,0.079,0.03,0.083,0.057
fresh_produce,fresh produce,0.957,0.818,0,0.919,0.898
fresh_vegetable,fresh vegetable,0.065,0,0.011,0.051,0.035
fresh_water,fresh water,0.057,0.118,-0.049,0.151,0.092
freshen,freshen,-0.819,0,0.504,-0.966,-0.763
freshen_up,freshen up,0.857,-0.688,0,0.971,0.839
fresher,fresher,-0.723,0,0.842,-0.82,-0.795
freshman,freshman,0.739,0.825,0,0.782,0.782
freshness,freshness,0.102,-0.102,0.009,-0.121,0.025
fretful,fretful,-0.477,0.407,-0.189,-0.193,-0.151
fretfulness,fretfulness,-0.511,0,0.584,-0.847,-0.647
friar,friar,0.025,0.253,-0.071,0.2,0.136
fricative,fricative,0.055,-0.054,0.013,0,0.032
friction,friction,0,0,-0.113,0,-0.038
friday,friday,0,0.182,-0.081,0.069,0.057
fried_fillet,fried fillet,0.027,0.111,-0.055,0.167,0.083
friend,friend,0.72,0,0,0.879,0.533
friend_gathering,friend gathering,0.681,-0.572,0,0.632,0.628
friend_over,friend over,0.719,0,0,0,0.24
friend_person,friend person,0.055,0.189,-0.097,0.113,0.087
friend_wedding,friend wedding,0.027,0.132,0,0.132,0.097
friendliness,friendliness,0.58,0.651,-0.264,0.308,0.425
friendly,friendly,0.777,0.972,0,0.913,0.887
friendly_fire,friendly fire,-0.226,-0.062,-0.113,-0.182,-0.153
friendly_person,friendly person,0.866,0.965,0,0.705,0.845
friendly_relationship,friendly relationship,0.589,-0.608,0,0.828,0.675
friendship,friendship,0.73,-0.766,0,0.817,0.771
fries,fries,0.508,-0.771,0,0.622,0.634
frieze,frieze,0.121,0,0,0.064,0.062
fright,fright,0,-0.707,-0.891,0,-0.061
frighten,frighten,-0.501,0.123,-0.306,-0.136,-0.273
frighten_away,frighten away,-0.47,0.387,-0.2,-0.171,-0.151
frighten_off,frighten off,-0.47,0.387,-0.2,-0.171,-0.151
frighten_person,frighten person,0,0,0,0.09,0.03
frightened,frightened,-0.464,0.391,-0.195,-0.176,-0.148
frightening,frightening,-0.45,0.39,-0.168,-0.185,-0.138
frighteningly,frighteningly,-0.47,0.387,-0.2,-0.171,-0.151
frightful,frightful,-0.459,0.384,-0.171,-0.184,-0.143
frigid,frigid,-0.565,0,0.578,-0.744,-0.629
frigidity,frigidity,-0.923,0,0.972,-0.674,-0.856
frigidness,frigidness,-0.923,0,0.972,-0.674,-0.856
frijol,frijol,0.861,-0.549,0,0.976,0.795
frijole,frijole,0.861,-0.549,0,0.976,0.795
frill,frill,0.1,-0.12,0.05,-0.032,0.046
frilly,frilly,0.053,-0.068,0.047,0.087,0.054
frilly_design,frilly design,0.053,-0.068,0.047,0.087,0.054
fringe_benefit,fringe benefit,0.639,-0.979,0,0.648,0.755
fringed,fringed,0.613,-0.532,0,0.932,0.692
frisbee,frisbee,0.037,-0.123,0.075,0,0.028
frisky,frisky,0.582,-0.783,0,0.795,0.72
frisson,frisson,0.465,0.653,-0.258,0.231,0.364
frivolity,frivolity,-0.916,0,0.808,-0.728,-0.817
frivolous,frivolous,-0.799,0,0.904,-0.652,-0.785
frivolousness,frivolousness,-0.83,0,0.905,-0.595,-0.777
frock,frock,0.068,0,0.014,0.055,0.036
frog,frog,0,0,0.073,0,-0.024
frolic,frolic,0.525,-0.857,0,0.599,0.66
from_here,from here,0.102,0.142,-0.081,0.224,0.129
from_prison,from prison,-0.982,0,0.078,-0.919,-0.66
front_back,front back,0,0,0.013,0.189,0.059
front_build,front build,0.844,0,0,0,0.281
front_desk,front desk,0.064,0.07,0,0,0.045
front_house,front house,0,0,0.013,0.189,0.059
front_line,front line,-0.154,0,0.029,-0.118,-0.1
front_page,front page,0.024,0.121,-0.077,0.164,0.077
front_porch,front porch,-0.075,0.228,0.019,0.089,0.074
front_rear,front rear,0,0,0.013,0.189,0.059
front_yard,front yard,-0.037,0,0,-0.032,-0.023
frontal_eminence,frontal eminence,0.737,-0.96,0,0.552,0.75
frontspiece,frontspiece,0.044,0,0,0.206,0.083
frost,frost,0.077,-0.055,0,0,0.044
frostbite,frostbite,0,0,-0.842,-0.942,-0.595
frostiness,frostiness,-0.547,0,0.823,-0.736,-0.702
froth,froth,-0.559,0,0.869,-0.838,-0.755
frottage,frottage,0.89,-0.646,0,0.765,0.767
froward,froward,-0.778,0,0.886,-0.584,-0.749
frown,frown,-0.189,0,-0.236,0,-0.142
frowsty,frowsty,-0.868,0,0.644,-0.886,-0.799
frowzled,frowzled,-0.852,0,0.985,-0.71,-0.849
frozen,frozen,-0.036,0,0.014,-0.031,-0.027
frozen_food,frozen food,0.043,-0.055,0,0,0.033
frozen_liquid,frozen liquid,0.1,0.076,0,0.156,0.111
frozen_water,frozen water,0,0,0,0.087,0.029
fructify,fructify,0.969,-0.868,0,0.631,0.823
frugal,frugal,0.722,-0.744,0,0.554,0.673
frugality,frugality,0.533,-0.558,0,0.912,0.668
frugalness,frugalness,0.768,-0.844,0,0.811,0.808
fruit,fruit,0,0.141,0.01,0.115,0.082
fruit_bowl,fruit bowl,0.937,0,0,0.828,0.588
fruit_drink,fruit drink,0.948,0.992,0,0.974,0.971
fruit_plant,fruit plant,0,-0.012,0.036,-0.05,-0.025
fruit_stand,fruit stand,0,0.074,0,0.071,0.048
fruit_tree,fruit tree,0.12,0,0.022,0,0.033
fruit_vegetable,fruit vegetable,0.102,0,0,0,0.034
fruitful,fruitful,0.851,-0.671,0,0.854,0.792
fruitfulness,fruitfulness,0.643,-0.803,0,0.681,0.709
fruitless,fruitless,-0.608,0,0.761,-0.849,-0.739
fruits,fruits,0.054,0.124,-0.076,0,0.034
frump,frump,-0.598,0,0.573,-0.56,-0.577
frustrate,frustrate,-0.863,0,0.863,0,-0.575
frustrate_person,frustrate person,0,-0.012,0.02,0.083,0.025
frustrated,frustrated,-0.502,0.382,-0.199,-0.187,-0.169
frustrating,frustrating,-0.132,0.071,0.694,-0.674,-0.476
frustration,frustration,-0.062,0.123,0.712,-0.678,-0.443
fry,fry,-0.83,0,0.987,-0.535,-0.784
fry_chicken,fry chicken,0.061,0,0,0.078,0.046
fry_egg,fry egg,0.061,0,0,0.078,0.046
fry_fish,fry fish,-0.057,0,0,-0.046,-0.034
fuck,fuck,0,0,0.741,-0.8,-0.514
fuck_all,fuck all,-0.671,0,0.691,-0.722,-0.695
fuck_off,fuck off,-0.922,0,0.458,-0.922,-0.767
fuckhead,fuckhead,-0.602,0,0.908,-0.841,-0.784
fuckup,fuckup,-0.773,0,0.503,-0.932,-0.736
fucus,fucus,-0.896,0,0.556,-0.726,-0.726
fuddle,fuddle,-0.855,0,0.583,-0.716,-0.718
fudge,fudge,0,0,0.77,-0.716,-0.495
fuel,fuel,0,0,0,0.882,0.294
fuel_source,fuel source,0.072,0.065,-0.068,0.144,0.071
fuggy,fuggy,-0.586,0,0.593,-0.979,-0.719
fugue,fugue,0.514,-0.586,0,0.927,0.676
fulcrum,fulcrum,-0.026,0.077,-0.081,0.108,0.026
fulfil,fulfil,0.673,-0.694,0,0.513,0.627
fulfill,fulfill,0.783,0.595,-0.209,0.34,0.503
fulfillment,fulfillment,0.959,0.821,0,0.892,0.891
fulgurant,fulgurant,0.056,-0.026,0.107,0.125,0.033
fulgurous,fulgurous,0,0,-0.752,0,-0.251
full,full,0.295,0.239,0.049,0.346,0.277
full_admiral,full admiral,0.688,-0.908,0,0.877,0.824
full_air,full air,0.056,-0.026,0.107,0.125,0.033
full_bladder,full bladder,-0.068,-0.004,-0.085,-0.114,-0.088
full_circle,full circle,0.047,0,0.009,0.272,0.103
full_complement,full complement,0.814,-0.878,0,0.918,0.87
full_moon,full moon,0.037,0.09,0.049,0.223,0.1
full_moon_party,full moon party,0.037,0.09,0.049,0.223,0.1
full_of_energy,full of energy,0.884,0,0,0,0.295
full_of_oneself,full of oneself,-0.026,0,0,-0.067,-0.031
full_of_shit,full of shit,-0.252,0,-0.216,-0.048,-0.172
full_radiator,full radiator,0.566,-0.553,0,0.776,0.632
full_stomach,full stomach,0.047,0,0.009,0.272,0.103
full_stop,full stop,0,-0.083,0.012,0,0.024
full_water,full water,-0.065,0.07,0.03,0.138,0.038
fullness,fullness,0.189,0.187,-0.206,0.127,0.099
fully_developed,fully developed,0.72,0,0,0.879,0.533
fulsome,fulsome,-0.527,0,0.651,-0.542,-0.573
fumble,fumble,-0.714,0,0.924,-0.542,-0.727
fumbling,fumbling,-0.983,0,0.505,-0.832,-0.773
fume,fume,-0.089,-0.007,0,0,-0.027
fun,fun,0.791,0.934,0,0.85,0.858
fun_activity,fun activity,0.159,-0.064,0,0.117,0.113
fun_around,fun around,0.144,0.153,-0.097,0.17,0.123
fun_child,fun child,0.144,0.153,-0.097,0.17,0.123
fun_exercise,fun exercise,0.099,-0.015,0.088,0.064,0.03
fun_game,fun game,0,-0.089,0.016,0.064,0.046
fun_learn_play,fun learn play,-0.12,0,0,-0.063,-0.061
fun_pastime,fun pastime,0.084,-0.087,0.025,0,0.049
fun_place,fun place,0.197,-0.087,0,-0.045,0.08
fun_play,fun play,0.814,0,0,0.856,0.557
fun_read,fun read,0.089,-0.017,0.033,0.082,0.052
fun_ride,fun ride,0,0,0,0.165,0.055
fun_sport,fun sport,0.034,-0.074,0.044,0.079,0.048
fun_time,fun time,0.143,-0.168,0,0,0.104
fun_watch,fun watch,0.106,-0.079,0.033,0,0.051
fun_with_friend,fun with friend,0.837,0,0,0,0.279
function,function,0.075,0,-0.069,0.203,0.07
functional,functional,0.986,-0.629,0,0.807,0.807
functional_illiterate,functional illiterate,-0.901,0,0.76,-0.871,-0.844
functionality,functionality,0.99,-0.88,0,0.831,0.9
functionary,functionary,0,0.233,-0.079,0.113,0.089
fund,fund,0,0.352,-0.181,0.169,0.113
fundamental,fundamental,0,0.148,0,0.148,0.099
fundamentalist,fundamentalist,-0.911,0,0.794,-0.934,-0.88
funds,funds,0.534,-0.868,0,0.736,0.713
funeral,funeral,-0.135,0.17,-0.182,-0.052,-0.066
funeral_celebration,funeral celebration,-0.098,0,-0.11,0,-0.069
funeral_director,funeral director,-0.911,0,0.794,-0.934,-0.88
funeral_home,funeral home,-0.707,0,0,0,-0.236
funeral_pyre,funeral pyre,-0.77,0,0.588,-0.801,-0.72
funerary,funerary,-0.098,0,-0.11,0,-0.069
funfair,funfair,-0.726,0,0.978,-0.861,-0.855
fungal_infection,fungal infection,-0.89,0,0.55,-0.74,-0.727
fungibility,fungibility,0.928,-0.651,0,0.856,0.812
fungible,fungible,0.552,-0.585,0,0.762,0.633
fungicide,fungicide,0.826,-0.967,0,0.678,0.824
fungus,fungus,-0.872,0,0.723,-0.946,-0.847
funiculus,funiculus,0,0.141,0.01,0.115,0.082
funny,funny,0.881,0,0,0.976,0.619
funny_farm,funny farm,-0.807,0,0.798,-0.968,-0.858
funny_friend,funny friend,0.056,0.157,0,0.154,0.122
funny_house,funny house,-0.861,0,0.822,-0.617,-0.767
funny_joke,funny joke,0.225,-0.049,0,0.07,0.115
funny_look,funny look,0.04,0.116,0,-0.067,0.03
funny_man,funny man,0,-0.053,-0.136,0,-0.028
funny_moment,funny moment,0.928,0.778,0,0,0.569
fur,fur,0,-0.01,0.051,-0.038,-0.026
fur_keep_warm,fur keep warm,-0.042,-0.09,0.016,-0.221,-0.063
furbish_up,furbish up,-0.564,0,0.917,-0.889,-0.79
furious,furious,-0.137,0.145,0.624,-0.638,-0.418
furiously,furiously,-0.127,0.13,0.647,-0.648,-0.431
furiousness,furiousness,-0.63,0,0.921,-0.621,-0.724
furlike,furlike,-0.754,0,0.734,-0.825,-0.771
furnace,furnace,0.091,0,0.034,0.049,0.035
furnish,furnish,0,0.128,-0.122,0.183,0.063
furnishing,furnishing,-0.741,0,0.722,-0.562,-0.675
furniture,furniture,0,0.143,-0.063,0.059,0.046
furniture_shop,furniture shop,-0.031,-0.032,0.014,-0.078,-0.03
furniture_store,furniture store,-0.075,0.228,0.019,0.089,0.074
furnitures,furnitures,0,-0.069,0,0,0.023
furrow,furrow,0.689,-0.565,0,0.74,0.665
furry,furry,0,0,0.07,0,-0.023
furry_creature,furry creature,0.03,0.068,-0.044,0.093,0.049
further,further,0.846,-0.765,0,0.688,0.766
further_career,further career,0.847,0.643,0,0.973,0.821
further_education,further education,0.847,0.643,0,0.973,0.821
further_goal,further goal,-0.159,0.11,-0.176,0.084,-0.047
further_knowledge,further knowledge,-0.152,-0.019,-0.086,-0.135,-0.118
furtiveness,furtiveness,0.742,-0.839,0,0.889,0.823
fury,fury,0,0,0.786,-0.965,-0.584
fuse,fuse,0.13,0.097,-0.077,0.198,0.116
fuse_together,fuse together,0.065,0.209,-0.119,0.297,0.151
fuss,fuss,-0.748,0,0.982,-0.506,-0.745
fuss_about,fuss about,-0.914,0,-0.728,-0.99,-0.877
fussiness,fussiness,-0.54,0,0.601,-0.69,-0.61
fusspot,fusspot,-0.827,0,0.556,-0.867,-0.75
fussy,fussy,-0.73,0.288,-0.367,-0.108,-0.306
fustian,fustian,-0.544,0,0.7,-0.64,-0.628
futile,futile,0,-0.869,0.992,-0.92,-0.348
futility,futility,0.909,-0.731,0,0.635,0.758
future_robot,future robot,0,0,-0.807,-0.882,-0.563
futures_contract,futures contract,0.868,-0.847,0,0.673,0.796
futurism,futurism,0,0,0,-0.122,-0.041
fuzz,fuzz,0,0,0.064,-0.04,-0.035
fuzziness,fuzziness,0.973,-0.777,0,0.983,0.911
fuzzy,fuzzy,0.03,0.069,0,0.168,0.089
fuzzy_animal,fuzzy animal,-0.036,0.11,0,0.177,0.084
gab,gab,-0.515,0,0.545,-0.911,-0.657
gabble,gabble,-0.875,0,0.838,-0.695,-0.803
gabby,gabby,0.949,-0.694,0,0.992,0.878
gable,gable,0.083,-0.036,0,0,0.04
gaboon_viper,gaboon viper,-0.96,0,0.865,-0.753,-0.859
gad,gad,-0.665,0,0.949,-0.754,-0.789
gadgetry,gadgetry,0.843,-0.998,0,0.706,0.849
gag,gag,0.632,-0.861,0,0.703,0.732
gaiety,gaiety,0.918,0.476,-0.197,0.417,0.538
gain,gain,0.733,0.991,0,0.843,0.856
gain_energy,gain energy,0.042,-0.043,-0.053,-0.144,-0.037
gain_experience,gain experience,0.918,0.476,-0.197,0.417,0.538
gain_ground,gain ground,0.506,0.659,-0.246,0.242,0.387
gain_information,gain information,0.941,0.748,0,0.56,0.75
gain_insight,gain insight,0.892,0.897,0,0.86,0.883
